group,date,value
DRUMMOND-LA LOMA,2004,20454000	
DRUMMOND-LA LOMA,2005,21463000	
DRUMMOND-LA LOMA,2006,21619000	
DRUMMOND-LA LOMA,2007,22898000	
DRUMMOND-LA LOMA,2008,21396000	
DRUMMOND-LA LOMA,2009,18431000
DRUMMOND-LA LOMA,2010,18072000
DRUMMOND-LA LOMA,2011,18115000
DRUMMOND-LA LOMA,2012,17177000
DRUMMOND-LA LOMA,2013,14492000
DRUMMOND-LA LOMA,2014,16383715
DRUMMOND-LA LOMA,2015,13318
C.I. PRODECO S.A.,2004,612000	
C.I. PRODECO S.A.,2005,1502000	
C.I. PRODECO S.A.,2006,2878000	
C.I. PRODECO S.A.,2007,3725000	
C.I. PRODECO S.A.,2008,4697000	
C.I. PRODECO S.A.,2009,5700000	
C.I. PRODECO S.A.,2010,5233000	
C.I. PRODECO S.A.,2011,7380000	
C.I. PRODECO S.A.,2012,10184000	
C.I. PRODECO S.A.,2013,11580000	
C.I. PRODECO S.A.,2014,12569443	
C.I. PRODECO S.A.,2015,11015
CONSORCIO MINERO ,2004,1070000	
CONSORCIO MINERO ,2005,1349000	
CONSORCIO MINERO ,2006,1478000	
CONSORCIO MINERO ,2007,551000	
CONSORCIO MINERO ,2008,0	
CONSORCIO MINERO ,2009,801000	
CONSORCIO MINERO ,2010,1753000	
CONSORCIO MINERO ,2011,2844000	
CONSORCIO MINERO ,2012,2144000	
CONSORCIO MINERO ,2013,4147000	
CONSORCIO MINERO ,2014,3831957	
CONSORCIO MINERO ,2015,4147
CARBONES LA JAGUA,2004,0	
CARBONES LA JAGUA,2005,1836000
CARBONES LA JAGUA,2006,1942000
CARBONES LA JAGUA,2007,2625000	
CARBONES LA JAGUA,2008,2517000	
CARBONES LA JAGUA,2009,2667000	
CARBONES LA JAGUA,2010,1639000	
CARBONES LA JAGUA,2011,2994000	
CARBONES LA JAGUA,2012,2115000	
CARBONES LA JAGUA,2013,2770000	
CARBONES LA JAGUA,2014,2952551	
CARBONES LA JAGUA,2015,2448
LA FRANCIA,2004,3600000	
LA FRANCIA,2005,723000	
LA FRANCIA,2006,1460000	
LA FRANCIA,2007,1625000	
LA FRANCIA,2008,1299000	
LA FRANCIA,2009,1624000	
LA FRANCIA,2010,1516000	
LA FRANCIA,2011,2459000	
LA FRANCIA,2012,2604000	
LA FRANCIA,2013,392000	
LA FRANCIA,2014,869724
LA FRANCIA,2015,1764
DRUMMOND EL DESCANSO,2004,0	
DRUMMOND EL DESCANSO,2005,0	
DRUMMOND EL DESCANSO,2006,0	
DRUMMOND EL DESCANSO,2007,0	
DRUMMOND EL DESCANSO,2008,0
DRUMMOND EL DESCANSO,2009,157000	
DRUMMOND EL DESCANSO,2010,2951000	
DRUMMOND EL DESCANSO,2011,4925000	
DRUMMOND EL DESCANSO,2012,8827000	
DRUMMOND EL DESCANSO,2013,8293000	
DRUMMOND EL DESCANSO,2014,10439843	
DRUMMOND EL DESCANSO,2015,12578
CARBONES DEL TESORO,2004,0
CARBONES DEL TESORO,2005,684000
CARBONES DEL TESORO,2006,1221000
CARBONES DEL TESORO,2007,1835000
CARBONES DEL TESORO,2008,1849000
CARBONES DEL TESORO,2009,1317000	
CARBONES DEL TESORO,2010,1415000
CARBONES DEL TESORO,2011,1194000
CARBONES DEL TESORO,2012,275000
CARBONES DEL TESORO,2013,119000
CARBONES DEL TESORO,2014,104131
CARBONES DEL TESORO,2015,79
VALE COAL  LTDA,2004,6495000
VALE COAL  LTDA,2005,0
VALE COAL  LTDA,2006,0
VALE COAL  LTDA,2007,977000
VALE COAL  LTDA,2008,1560000
VALE COAL  LTDA,2009,1622000
VALE COAL  LTDA,2010,2990000
VALE COAL  LTDA,2011,3570000
VALE COAL  LTDA,2012,2980000
VALE COAL  LTDA,2013,2970000
VALE COAL  LTDA,2014,0
VALE COAL  LTDA,2015,0
NORCARBON ,2004,77000	
NORCARBON ,2005,198000	
NORCARBON ,2006,422000	
NORCARBON ,2007,389000	
NORCARBON ,2008,345000	
NORCARBON ,2009,306000	
NORCARBON ,2010,511000	
NORCARBON ,2011,298000	
NORCARBON ,2012,375000	
NORCARBON ,2013,302000	
NORCARBON ,2014,154797	
NORCARBON ,2015,147
CARBOANDES S.A.,2004,394000
CARBOANDES S.A.,2005,684000	
CARBOANDES S.A.,2006,1315000
CARBOANDES S.A.,2007,325000	
CARBOANDES S.A.,2008,0	
CARBOANDES S.A.,2009,0	
CARBOANDES S.A.,2010,0	
CARBOANDES S.A.,2011,0	
CARBOANDES S.A.,2012,0	
CARBOANDES S.A.,2013,0	
CARBOANDES S.A.,2014,0	
CARBOANDES S.A.,2015,0
